Order_id,User_id,Vecicle_id,Vehicle_Type,Weight,From_City,From_Address,To_City,To_Address,Insurance_Id,Booking_date
6145a987fc13ae1c8f0000d6,6145a987fc13ae1c8f0000d7,WAUA2AFD9EN709208,Container,388,Lomba,86712 8th Court,Sut-Khol’,6 Bultman Point,6145a987fc13ae1c8f0000d8,2021/06/15
6145a987fc13ae1c8f0000d9,6145a987fc13ae1c8f0000da,WA1BY74L49D788120,Mini_truck,728,Biała Piska,8429 Portage Lane,Albuquerque,99 Mitchell Plaza,6145a987fc13ae1c8f0000db,2021/03/23
6145a987fc13ae1c8f0000dc,6145a987fc13ae1c8f0000dd,1G6AZ5SX5E0228636,Container,785,Kovači,0743 Packers Lane,Jinzhou,306 Fairview Circle,6145a987fc13ae1c8f0000de,2020/12/15
6145a987fc13ae1c8f0000df,6145a987fc13ae1c8f0000e0,WDDLJ9BB2FA262480,Mahendra_bollero,954,Huangbayi,07 Lunder Hill,Saqqez,4 Oak Valley Road,6145a987fc13ae1c8f0000e1,2020/10/30
6145a987fc13ae1c8f0000e2,6145a987fc13ae1c8f0000e3,1G6AY5SX6F0071591,20_feet_open_allside,606,Puerto Maldonado,7436 Sutteridge Drive,Saidpur,5 Shopko Drive,6145a987fc13ae1c8f0000e4,2020/11/06
6145a987fc13ae1c8f0000e5,6145a987fc13ae1c8f0000e6,JTDZN3EU7EJ789125,Tata_ace,984,Uruobo-Okija,4134 Barnett Lane,Dolní Počernice,49025 Russell Alley,6145a987fc13ae1c8f0000e7,2021/09/18
6145a987fc13ae1c8f0000e8,6145a987fc13ae1c8f0000e9,JH4CU2F6XCC263316,Container,759,Valença do Piauí,82 Logan Terrace,Bāft,86527 Heath Lane,6145a987fc13ae1c8f0000ea,2021/10/18
6145a987fc13ae1c8f0000eb,6145a987fc13ae1c8f0000ec,SCBGT3ZA0FC899794,Mahendra_bollero,563,Mīrpur Sakro,856 Pearson Crossing,Camp Flora,9528 7th Road,6145a987fc13ae1c8f0000ed,2020/11/25
6145a987fc13ae1c8f0000ee,6145a987fc13ae1c8f0000ef,WAUEV94F28N245744,Mini_truck,309,Sobreira,375 Tennessee Pass,Madīnat Sittah Uktūbar,3015 Pleasure Court,6145a987fc13ae1c8f0000f0,2021/12/24
6145a987fc13ae1c8f0000f1,6145a987fc13ae1c8f0000f2,JTHBE1BL7D5875333,Tata_ace,979,Dianqian,58 Daystar Lane,Pulau Pinang,09 Northview Terrace,6145a987fc13ae1c8f0000f3,2021/07/13
6145a987fc13ae1c8f0000f4,6145a987fc13ae1c8f0000f5,1YVHZ8BH5A5704221,Mini_truck,725,Kostino,3072 Mariners Cove Circle,Gulou,51 Monument Street,6145a987fc13ae1c8f0000f6,2021/10/30
6145a987fc13ae1c8f0000f7,6145a987fc13ae1c8f0000f8,WBAGN83525D326014,Mahendra_bollero,303,Munduk,06518 Hooker Court,Tabug,5 Moose Park,6145a987fc13ae1c8f0000f9,2021/04/27
6145a987fc13ae1c8f0000fa,6145a987fc13ae1c8f0000fb,WAUVT54B23N999019,Container,175,Shāhdādkot,1 Blue Bill Park Alley,Huata,0883 Leroy Junction,6145a987fc13ae1c8f0000fc,2021/01/09
6145a987fc13ae1c8f0000fd,6145a987fc13ae1c8f0000fe,1G6DK5EY4B0041325,Mahendra_bollero,677,Fiorentino,8703 Golden Leaf Point,Shuangjie,7 Gateway Trail,6145a987fc13ae1c8f0000ff,2020/10/17
6145a987fc13ae1c8f000100,6145a987fc13ae1c8f000101,5GAKRBED7BJ038233,Mahendra_bollero,158,Rędziny,33479 Sugar Circle,Kotadukuh,0831 John Wall Trail,6145a987fc13ae1c8f000102,2021/04/28
6145a987fc13ae1c8f000103,6145a987fc13ae1c8f000104,3FAHP0CG3BR850253,20_feet_open_allside,975,Edinburgh of the Seven Seas,24 Duke Hill,Ureshino,6 Bayside Junction,6145a987fc13ae1c8f000105,2021/01/25
6145a987fc13ae1c8f000106,6145a987fc13ae1c8f000107,WAUUL78E97A016216,20_feet_open_allside,360,Nieuwegein,65 Canary Terrace,Samho-rodongjagu,92 Nancy Hill,6145a987fc13ae1c8f000108,2021/12/09
6145a987fc13ae1c8f000109,6145a987fc13ae1c8f00010a,1G6KF57991U139517,Tata_ace,923,Zbarazh,154 Hooker Center,Xinghe Chengguanzhen,95 Forest Run Crossing,6145a987fc13ae1c8f00010b,2021/06/18
6145a987fc13ae1c8f00010c,6145a987fc13ae1c8f00010d,3D73M3CL4AG062786,Tata_ace,773,San Juan Ixcoy,45081 Logan Road,Palocabildo,08 Schlimgen Point,6145a987fc13ae1c8f00010e,2021/10/11
6145a987fc13ae1c8f00010f,6145a987fc13ae1c8f000110,WBAYB6C52DC371508,Container,679,Hošťka,4793 Prentice Circle,Gogosuket,6 Bluejay Parkway,6145a987fc13ae1c8f000111,2021/09/28
6145a987fc13ae1c8f000112,6145a987fc13ae1c8f000113,WBAPL33519A148256,Mini_truck,184,São Bento,06762 North Street,Morinville,6 Schurz Center,6145a987fc13ae1c8f000114,2020/10/22
6145a987fc13ae1c8f000115,6145a987fc13ae1c8f000116,WDDGF4HB5DF720736,Mini_truck,402,Chekmagush,26 Morrow Avenue,Ichinohe,1 Cody Parkway,6145a987fc13ae1c8f000117,2021/05/03
6145a987fc13ae1c8f000118,6145a987fc13ae1c8f000119,1G6KD54YX4U603419,Mini_truck,555,São José de Mipibu,55 Crest Line Pass,Nanling,93369 Maple Wood Road,6145a987fc13ae1c8f00011a,2021/12/21
6145a987fc13ae1c8f00011b,6145a987fc13ae1c8f00011c,1YVHZ8BH7B5377855,Container,717,Lyon,05 North Terrace,Pandan,51 Calypso Crossing,6145a987fc13ae1c8f00011d,2021/04/12
6145a987fc13ae1c8f00011e,6145a987fc13ae1c8f00011f,W04GS5EC8B1088487,Container,447,Fort Abbās,54886 Oxford Lane,Ntungamo,985 Kropf Crossing,6145a987fc13ae1c8f000120,2021/05/24
6145a987fc13ae1c8f000121,6145a987fc13ae1c8f000122,KMHHU6KJ4FU892816,Container,922,Aimadamodo,3683 Carberry Circle,Sinjār,71886 Cody Plaza,6145a987fc13ae1c8f000123,2021/11/26
6145a987fc13ae1c8f000124,6145a987fc13ae1c8f000125,1N6AD0CU8BC288436,Tata_ace,012,Beigao,89938 Namekagon Street,Wuli,013 Brentwood Crossing,6145a987fc13ae1c8f000126,2021/11/10
6145a987fc13ae1c8f000127,6145a987fc13ae1c8f000128,1FTEW1E8XAK980106,Mini_truck,694,Umeå,3 Forster Plaza,Loures,420 Brown Crossing,6145a987fc13ae1c8f000129,2021/11/19
6145a987fc13ae1c8f00012a,6145a987fc13ae1c8f00012b,3D73M4CL6BG234002,Container,350,Cizhu,14649 Menomonie Pass,Lirang,6 Kedzie Place,6145a987fc13ae1c8f00012c,2020/10/03
6145a987fc13ae1c8f00012d,6145a987fc13ae1c8f00012e,3GTU1YEJ6BG535198,Container,877,Xiantang,91 Pawling Court,Andalucía,7091 Sunfield Lane,6145a987fc13ae1c8f00012f,2021/01/05
6145a987fc13ae1c8f000130,6145a987fc13ae1c8f000131,JHMZF1C61ES633161,Mini_truck,197,Astana,5104 Knutson Drive,Popovo,8 Fremont Park,6145a987fc13ae1c8f000132,2020/10/15
6145a987fc13ae1c8f000133,6145a987fc13ae1c8f000134,WAUBFAFLXFA383377,20_feet_open_allside,777,Gaoqiao,15 Texas Terrace,Jinqiao,70944 Mayer Trail,6145a987fc13ae1c8f000135,2021/03/13
6145a987fc13ae1c8f000136,6145a987fc13ae1c8f000137,2G61N5S35F9438606,Mahendra_bollero,014,Querobamba,337 Lyons Park,Dallas,3 Graceland Pass,6145a987fc13ae1c8f000138,2021/08/17
6145a987fc13ae1c8f000139,6145a987fc13ae1c8f00013a,WBA3N5C5XEK867224,Container,251,Sarata,58 Scoville Place,Shuikou,60425 Green Ridge Street,6145a987fc13ae1c8f00013b,2021/01/23
6145a987fc13ae1c8f00013c,6145a987fc13ae1c8f00013d,WAUFFAFL5FA211789,Mini_truck,160,Longju,00 Dwight Terrace,Yunlu,1017 Butterfield Junction,6145a987fc13ae1c8f00013e,2021/05/13
6145a987fc13ae1c8f00013f,6145a987fc13ae1c8f000140,WBANA73535B698647,Mahendra_bollero,388,Sishui,05 Cambridge Park,Casa Nova,5299 Kedzie Lane,6145a987fc13ae1c8f000141,2021/10/10
6145a987fc13ae1c8f000142,6145a987fc13ae1c8f000143,WAUSF98E77A994532,Tata_ace,986,Gibsons,8 Meadow Valley Plaza,Botlhapatlou,4 Macpherson Circle,6145a987fc13ae1c8f000144,2021/11/06
6145a987fc13ae1c8f000145,6145a987fc13ae1c8f000146,5GAER13728J722846,Container,335,Shanghu,638 Loeprich Way,Gaozhai,4 Carey Junction,6145a987fc13ae1c8f000147,2021/06/04
6145a987fc13ae1c8f000148,6145a987fc13ae1c8f000149,1G4HR54K03U754607,Tata_ace,201,Kista,79 Red Cloud Circle,Solţānābād,68499 Sheridan Park,6145a987fc13ae1c8f00014a,2021/04/18
6145a987fc13ae1c8f00014b,6145a987fc13ae1c8f00014c,WAUEFBFL3EA798834,20_feet_open_allside,451,Föglö,9829 Redwing Hill,Beiwenquan,48 Brentwood Circle,6145a987fc13ae1c8f00014d,2020/10/02
6145a987fc13ae1c8f00014e,6145a987fc13ae1c8f00014f,2C3CDXFG8FH015563,Container,209,Murillo,8 Aberg Alley,Ust’-Dzheguta,107 Macpherson Park,6145a987fc13ae1c8f000150,2021/08/11
6145a987fc13ae1c8f000151,6145a987fc13ae1c8f000152,SCFHDDAJ3CA503544,Container,346,Panzhou,549 Springview Street,La Troncal,4 Spaight Court,6145a987fc13ae1c8f000153,2021/12/25
6145a987fc13ae1c8f000154,6145a987fc13ae1c8f000155,WBAEV33443P471116,20_feet_open_allside,638,Babahoyo,282 Gulseth Junction,Marne-la-Vallée,6 Algoma Crossing,6145a987fc13ae1c8f000156,2021/02/25
6145a987fc13ae1c8f000157,6145a987fc13ae1c8f000158,WBAVB13576K639421,Container,733,Zhougang,5 Kim Junction,Jilong,41 Coleman Way,6145a987fc13ae1c8f000159,2021/08/13
6145a987fc13ae1c8f00015a,6145a987fc13ae1c8f00015b,JTEBU5JRXB5679560,Mini_truck,356,Tangquan,5 Texas Junction,Chambly,86 Rockefeller Alley,6145a987fc13ae1c8f00015c,2021/11/12
6145a988fc13ae1c8f00015d,6145a988fc13ae1c8f00015e,WVGAV7AX1CW535099,Container,095,Sindang,532 Lakewood Crossing,Kallithéa,53 Pennsylvania Court,6145a988fc13ae1c8f00015f,2021/01/08
6145a988fc13ae1c8f000160,6145a988fc13ae1c8f000161,19UUA9F58EA610138,Mini_truck,165,Dasiping,520 Northwestern Park,Juegang,5734 Old Gate Circle,6145a988fc13ae1c8f000162,2020/09/20
6145a988fc13ae1c8f000163,6145a988fc13ae1c8f000164,WBAEH135X7C256048,Tata_ace,707,Ordzhonikidzevskaya,0 Hanover Street,Amieira,8485 Little Fleur Crossing,6145a988fc13ae1c8f000165,2021/09/24
6145a988fc13ae1c8f000166,6145a988fc13ae1c8f000167,JH4DC53885S534736,Container,195,El Jem,8 Michigan Circle,Santa Cruz,9 Mesta Way,6145a988fc13ae1c8f000168,2021/08/10
6145a988fc13ae1c8f000169,6145a988fc13ae1c8f00016a,WAULT58E35A458681,20_feet_open_allside,447,Bangus Kulon,46780 Kingsford Street,Harrisburg,35 Hanover Parkway,6145a988fc13ae1c8f00016b,2021/01/26
6145a988fc13ae1c8f00016c,6145a988fc13ae1c8f00016d,WAUMV94E99N271858,Container,572,Port Harcourt,026 Warner Center,Pantukan,07132 Bashford Crossing,6145a988fc13ae1c8f00016e,2020/09/25
6145a988fc13ae1c8f00016f,6145a988fc13ae1c8f000170,WBAYE4C57DD146619,20_feet_open_allside,087,Baixi,9 Buhler Point,Tinghir,3 Heffernan Court,6145a988fc13ae1c8f000171,2020/10/19
6145a988fc13ae1c8f000172,6145a988fc13ae1c8f000173,KM8NU4CC6AU075427,Tata_ace,433,Nuamuzi,100 Prentice Place,Racławice,6646 Milwaukee Pass,6145a988fc13ae1c8f000174,2021/08/03
